"count","longerversion"
"100","3.5.0-Final"
"272","3.5.1-Final"
"84","3.5.2-Final"
"68","3.5.3-Final"
"88","3.5.4-Final"
"140","3.5.5-Final"
"480","3.5.6-Final"
"548","3.6.0.Final"
"196","3.6.1.Final"
"1052","3.6.10.Final"
"52","3.6.2.Final"
"348","3.6.3.Final"
"356","3.6.4.Final"
"120","3.6.5.Final"
"272","3.6.6.Final"
"324","3.6.7.Final"
"536","3.6.8.Final"
"1012","3.6.9.Final"
"260","4.0.0.Final"
"568","4.0.1.Final"
"388","4.1.0.Final"
"232","4.1.1.Final"
"332","4.1.10.Final"
"56","4.1.11.Final"
"60","4.1.12.Final"
"120","4.1.2.Final"
"212","4.1.3.Final"
"592","4.1.4.Final"
"132","4.1.5.Final"
"400","4.1.6.Final"
"760","4.1.7.Final"
"724","4.1.8.Final"
"1044","4.1.9.Final"
"720","4.2.0.Final"
"544","4.2.1.Final"
"2","4.2.11.Final"
"6","4.2.12.Final"
"2","4.2.13.Final"
"4","4.2.15.Final"
"676","4.2.2.Final"
"492","4.2.3.Final"
"316","4.2.4.Final"
"212","4.2.5.Final"
"152","4.2.6.Final"
"128","4.2.7.Final"
"104","4.2.8.Final"
"216","4.3.0.Final"
"412","4.3.1.Final"
"20","4.3.2.Final"
"16","4.3.3.Final"
"100","4.3.4.Final"
"172","4.3.5.Final"
"84","4.3.6.Final"
